"id"	"ask"	"answer"	"lable"
"106"	"装修了四五年了"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"107"	"我只是想看看怎么优化，不想大翻修"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"108"	"毛坯"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"109"	"看看下半年有，现在没有"	"没关系的亲，装修都是要提前了解的，找找自己想要的风格，提前装修，排排气味，开开心心住进去。"	"房屋类型"
"110"	"语音识别结果:我是这个客服问你一下我们家的房顶漏水，你们这里修不修"	"售后电话：021-24259321"	"房屋类型"
"111"	"我就想问一问，厨房间有没，不锈钢台面的"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"112"	"原来是石英石的台面，想改为不锈钢台面"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"房屋类型"
"113"	"现在房龄十年左右，差不多再等五到六年吧"	"亲，装修都是要提前了解的，找找自己想要的风格，
早装修一天，早享受一天嘛~嘻嘻"	"房屋类型"
"114"	"我买的是公寓房哈"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"房屋类型"
"115"	"已经入住了，精装修"	"亲，软装有很多风格的，看看您喜欢哪一种"	"房屋类型"
"116"	"222户型"	"亲，我们会根据这个户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"117"	"96平，实用70平左右，三室一厅"	"亲，我们会根据这个户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"118"	"300平米，3楼复4楼带5楼阁楼装修效果图"	"亲，我们现在有15年以上的资深首席别墅设计师为您服务~"	"面积"
"119"	"实际多少平也不知道产证是51"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"120"	"可以发60平房子的装修案例吗？"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"121"	"我想看一下70平米的效果图"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"122"	"71个平方"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"123"	"套内面积50的发来看看"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"124"	"我想看一下60平米"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"125"	"95平米"	"亲，我们会根据这个户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"126"	"56.49"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"127"	"大概106个平方"	"亲，我们会根据这个户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"128"	"48"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"129"	"两套，一套60，一套90"	"亲，我们会根据这个户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"130"	"53.9"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"131"	"71.66"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"132"	"70平方"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"133"	"七十几个平方"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"134"	"100平米"	"亲，我们会根据这个户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"135"	"房子一室户约20多平米是我养老居住！"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"136"	"30平左右"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"137"	"232平"	"亲，我们会根据房子情况出效果，设计前需要跟您了解下具体情况喔~"	"面积"
"138"	"82平米，中等装修"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"139"	"110平，三房"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"140"	"80多吧 如果要改造就是自己主卧"	"亲，我们有局部改造服务的~30平米以上的局部空间都做"	"面积"
"141"	"93平米"	"亲，我们会根据房子情况出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"142"	"93平米，我想多一个卫生间"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"143"	"80平"	"亲，我们会根据户型出效果，设计前需要跟您
了解下房屋具体的情况喔~"	"面积"
"144"	"97"	"亲，我们会根据户型出效果，设计前需要跟您
了解下房屋具体的情况喔~"	"面积"
"145"	"82"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"146"	"93.22平米"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"147"	"你们装修有没有限制多少平米可以装修？"	"亲，30平米及以上就可以做，30平米以下做不了喔~"	"面积"
"148"	"那我也就一间房30平米，看来是做不成了。"	"亲，30平米及以上就可以做，30平米以下做不了喔~"	"面积"
"149"	"170，95。房型不知道，现在还早，我只是先关注着，看看而已"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，说说您的装修需求吧~"	"面积"
"150"	"是16平"	"亲，如果是局部改造的话是30平米以上可以做"	"面积"
"151"	"65.3"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"152"	"我想看一下85平方的装修"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"153"	"上下二层一百八十平方"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"154"	"面积也没定"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"155"	"108"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"156"	"我是小戶型，41平米，你有的话发点给我看看，谢谢了"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"157"	"老板，请问一下37平方，你们装修吗"	"亲，30平米及以上就可以做，30平米以下做不了喔~"	"面积"
"158"	"房子面积80平方"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"159"	"我没有，我有个朋友正好想买房，也是80平左右的"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"160"	"74平两房的小房子 有设计效果图吗"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"161"	"56平方米"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"162"	"厅里15平方米，怎么装"	"亲，如果是局部改造的话是30平米以上可以做"	"面积"
"163"	"南北房，80个平"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"164"	"刚看到你们55平米的设计不错"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"165"	"面积41.3"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"166"	"大概65"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"167"	"房间21平方加阳台3.5。准备包进阳台，隔一大一小房"	"亲，如果是局部改造的话是30平米以上可以做"	"面积"
"168"	"好的，有90和70和60，正准备分下来"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"169"	"面积应该在85-95之间的两房"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"170"	"52平"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"171"	"54平"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"172"	"64平"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"173"	"现有住房2套，对门，底楼，70平左右，有院子，一套儿子婚房，一套自住（精装改造），现在为时太早，保持联系，等确定结婚、装修时间再具体联系了解。"	"没关系的亲，装修都是要提前了解的，您可以先了解起来，说说您的装修需求吧~"	"面积"
"174"	"你好，我想问一问，70平方装修大概需多少预算"	"亲，预算是根据房子装修的具体情况来定的，说说您的装修需求吧~"	"面积"
"175"	"老破小，50平，谢谢了"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"176"	"72平"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"177"	"82"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"178"	"78"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"179"	"56平"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"180"	"面积70多"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"181"	"60平"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"182"	"80平方"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"183"	"我想先看看你们80平米左右装修房"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"184"	"127"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"185"	"68"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"186"	"电梯房68个平方的"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"187"	"106平方需要多少钱北欧风格"	"亲，装修的价格是根据您具体的要求来定的。"	"面积"
"188"	"48点多"	"亲，时下流行小空间大改造，聊聊你的房子的具体情况吧~"	"面积"
"189"	"有一套83平老年人居住"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"190"	"94"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"191"	"85平"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"192"	"180"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"193"	"80平米发我看看"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"194"	"面积地平方90个"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"195"	"楼下楼上共180"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"196"	"谢谢！我85平米，方便时发几个也可以，是86老人住的。"	"亲，老人居住的房子最好特殊设计下，保护老人的居家安全~"	"面积"
"197"	"80"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"198"	"88平"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"199"	"60多平"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"200"	"78建筑面积"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"201"	"75平"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"202"	"我想咨询一下 ，自己找的一套小洋房 ，大概六十多个平方 ，三层的，我们这边快要拆迁了，我想简单装修一下 ，大概需要多少钱"	"亲，装修费用是根据您的具体需求来估算的"	"面积"
"203"	"一室半33.5平一楼"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"204"	"72平"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"205"	"老公房55平米装修要多少钱"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"206"	"82"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"207"	"四十七平米"	"亲，空间是可以设计出来的，聊聊你的房子的具体情况吧~"	"面积"
"208"	"23平方"	"亲，30平米及以上就可以做，30平米以下做不了喔~"	"面积"
"209"	"不出租后装修自己住，49平方"	"亲，时下流行小空间大改造，聊聊你房子的具体情况吧"	"面积"
"210"	"3-5个平方"	"亲，30平米及以上就可以做，30平米以下做不了喔~"	"面积"
"211"	"你们现在80几平的大概费用多少"	"亲，装修费用是根据您的具体需求来估算的"	"面积"
"212"	"76"	"亲，装修费用是根据您的具体需求来估算的"	"面积"
"213"	"107"	"亲，我们会根据户型出效果，设计前需要跟您了解下房屋具体的情况喔~"	"面积"
"214"	"48点多"	"亲，时下流行小空间大改造，聊聊你房子的具体情况吧"	"面积"
"215"	"15800847252.暂时不需要装修"	"亲，房子住久了换一个风格，换一种感觉也不错喔~"	"预计装修时间"
"216"	"置换的，半年后吧"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"217"	"现在不急"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"218"	"我准备年底装修，好好找个装修大师"	"亲，15年以上的装修设计师为您量身服务，聊聊你的装修需求吧~"	"预计装修时间"
"219"	"房子都还没有到手呢"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"220"	"明年"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"221"	"呵，现在不装修"	"亲亲可以先关注咱们公众号，装修都是要提前了解的，设计图纸以及装修施工都比较费时"	"预计装修时间"
"222"	"我知道了，等我拿到房后会联系你的，不急的，谢谢了！"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"223"	"等以后要装修了我再找你"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
"224"	"我只是关注一下，不是现在就装修"	"亲，房子住久了换一个风格，换一种感觉也不错喔~"	"预计装修时间"
"225"	"你好，小了解下，房子10月份交付。"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"226"	"房子在置换中。大概10月份之后"	"亲，帮您把家设计的美美哒~聊聊您的具体需求吧"	"预计装修时间"
"227"	"过一年"	"亲，装修最早越好，装修完了多放一放，留点时间除味，舒舒服服住新房~"	"预计装修时间"
